Speed,Title,Date Expression,Date Expression 1,Date Expression 2,Date - begin,Date - end,Notes,Restrictions,Other identifying information,Duplicate Status,Audio Notes,Filename,Subject names
"7.5 ips, stereo",RJ 70 - Kitchen Concert II,1972 May 15,1972,May 15,1972,1972,,,RJ 70,,,MSS0180_B238_F30,
"7.5 ips, stereo",RJ 71 - Performance at Grand Valley State College,1972 May 20,1972,May 20,1972,1972,"In Allendale, Michigan. Featuring Patrick Brennan, Don Lubbers, Lowell Rieger, Greg Succop, Diane Taylor, Rober Vas Dias, Cynthia Vermeire.",,RJ 71,,,"MSS0180_B238_F31_1, MSS0180_B238_F31_2",
"7.5 ips, stereo",RJ 72 - Performance at Oberlin College I,1972 April 30,1972,April 30,1972,1972,"7 Poems from Collage, 2nd Gatha, John Ball Pack, Solo Poems from Stanzas for Iris Lezak",,RJ 72,,,MSS0180_B238_F32,
"7.5 ips, stereo",RJ 73 - Performance at Oberlin College II,1972 April 30,1972,April 30,1972,1972,"The, Nuclei for Simone, End of Pattern Recog.",,RJ 73,,,MSS0180_B238_F33,
"7.5 ips, 1/2 track",RJ 74 - Performance at Oberlin College III,1972 April 30,1972,April 30,1972,1972,"Letters for Iris Numbers for Silence, Text on the Opposite Page, Bluebirds",,RJ 74,,Pitch gets higher progressively through the tape (most likely recorded on a battery-powered recorder that was losing power…),MSS0180_B238_F34,
"7.5 ips, mono 1 track",RJ 75 - Performance at Milton College I,1972 June,1972,June,1972,1972,"Intro, Environmentally, Namu Amida Butsu (2nd Gatha). CJ 7 is a duplicate.",,RJ 75,CJ 7 is a dupe,,MSS0180_B238_F35,
"7.5 ips, mono full",RJ 76 - Performance at Milton College II,1972 June,1972,June,1972,1972,CJ 7 is a duplicate,,RJ 76,CJ 7 is a dupe,,MSS0180_B238_F36,
"7.5 ips, mono full",RJ 77 - Performance at Milton College III,1972 June,1972,June,1972,1972,CJ 7 is a duplicate,,RJ 77,CJ 7 is a dupe,,MSS0180_B238_F37,
"7.5 ips, stereo 2 track","RJ 78 - Word Event on ""Lucy Church Amiably""",1972 July,1972,July,1972,1972,,,RJ 78,,,MSS0180_B239_F01,
"7.5 ips, stereo",RJ 79 - Testing,1972 October,1972,October,1972,1972,CJ 20 is a duplicate,,RJ 79,CJ 20 is a dupe,,MSS0180_B239_F02,
"7.5 ips, mono full",RJ 80 - The and 6 Asymmetries for Dr. Howard Levy,1972 December 13,1972,December 13,1972,1972,At the Manhattan Theatre Club,,RJ 80,,Overload distortion and background noise,MSS0180_B239_F03,
"7.5 ips, 1/2 track",RJ 81 - Filtered,1974 May 21,1974,May 21,1972,1972,"At NYU Comp Workshop. Duplicate of RJ 82, 83",,RJ 81,"Dupe of RJ 82, 83",,MSS0180_B239_F04,
"7.5 ips, mono full",RJ 82 - The,1972 December 13,1972,December 13,1972,1972,At the Manhattan Theatre Club,,RJ 82,,,MSS0180_B239_F05,
"7.5 ips, mono full",RJ 83 - 6 Asymmetries for Dr. Howard Levy,1972 December 13,1972,December 13,1972,1972,At the Manhattan Theatre Club,,RJ 83,,,MSS0180_B239_F06,
"7.5 ips, stereo 2-track",RJ 84 - Supernova Remnants,1973,1973,,1973,1973,In an envelope.,,RJ 84,,,MSS0180_B239_F07,
"7.5 ips, mono 1 track",RJ 85 - Lucy Church Amiably,1973,1973,,1973,1973,,,RJ 85,,,MSS0180_B239_F08,
"7.5 ips, stereo 1/4 track",RJ 86 - A Threnody for Sylvia Plath,1973 August 22,1973,August 22,1973,1973,"Voices of Diane Wakoski, Sonia Sanchez, Gregory Carbo, Tom Wetherly, Paul Blackburn.",,RJ 86,,Electrical hum,MSS0180_B239_F09,"Diane Wakoski, Paul Blackburn"
"7.5 ips, stereo 1/4 track",RJ 87 - 8-Voice Canon,1973 August 22,1973,August 22,1973,1973,Overlay of The Text on the Opposite Page,,RJ 87,,,MSS0180_B239_F10,
"7.5 ips, mono full",A Threnody for Sylvia Plath,1973 August 27,1973,August 27,1973,1973,May be other poets on tape in addition to the title piece by Mac Low.,,,,,MSS0180_B239_F11,
"7.5 ips, stereo 1/4 track",RJ 88 - The Text on the Opposite Page,1973 August 23,1973,August 23,1973,1973,"Master track. Featuring Mac Low, Lee, and Neuhaus. Double canon of 1st canon tape.",,RJ 88,,,MSS0180_B239_F12,
"7.5 ips, stereo 1/2 track",RJ 88A - A Threnody for Sylvia Plath,1973 August 27,1973,August 27,1973,1973,"Made at Grand Valley State College in Allendale, Michigan.",,RJ 88A,,,MSS0180_B239_F13,
7.5 ips,RJ 88B - The Childlike Life of the Black Tarantula #3 Crossword Gathas,1973 November 25,1973,November 25,1973,1973,"Performed at NYU Composers' Workshop. 4 realizations, one on each channel. Mach Low assisted by Arthur Russell",,RJ 88B,,,MSS0180_B239_F14,
"7.5 ips, stereo",RJ 88C - The Black Tarantula #3 Crossword Gathas,1973 November 25,1973,November 25,1973,1973,Performed at NYU Composers' Workshop. 4 performances overlaid.,,RJ 88C,,,MSS0180_B239_F15,
"7.5 ips, mono full","RJ 88C - Milarepa Gatha, Homage to Leona Bleiweiss, LETT",1976 December 5,1976,December 5,1976,1976,"Recorded at the Albright-Knox Art Gallery in Buffalo, New York.",,RJ 88C,,,MSS0180_B239_F16,
"3.75 ips, stereo 1 track",RJ 88C S2 - The Black Tarantula Crossword Gathas,1973 November 25,1973,November 25,1973,1973,"8-voice ""stereo canon"" realization. S Press tape #33. Extensive notes on paper inside box.",,RJ 88C S2,Dupe of RJ 88C,,MSS0180_B239_F17,
"7.5 ips, 1/2 mono track",The Black Tarantula Crossword Gathas,1973 November,1973,November,1973,1973,"8-voice ""stereo canon"" realization",,,,tape is physically unplayable - shredding itself,MSS0180_B239_F18,
"7.5 ips, 4-channel",RJ 89 - The 5 Tennyson Asymmetries,1973 December 2,1973,December 2,1973,1973,Track 1: 1st Tennyson Asymmetry. Track 2: 3rd and 4th Tennyson Asymmetry. Track 3: 2nd Tennyson Asymmetry. Track 4: 5th Tennyson Asymmetry. Mac Low assisted by Arthur Russell at the NYU Composers' Workshop.,,RJ 89,,"channels 1 & 2 are on track 1, channels 3 & 4 are on track 2","MSS0180_B239_F19_1, MSS0180_B239_F19_2",
"7.5 ips, stereo 1/2 track",RJ 89A - The 5 Tennyson Asymmetries,1973 December 2,1973,December 2,1973,1973,"Channel 1: Asymmetries 1 and 2. Channel 2: Asymmetries 3, 4, and 5. Duplicate of RJ 89.",,RJ 89A,Dupe of RJ 89,,MSS0180_B239_F20,
"7.5 ips, stereo 1/4 track",RJ 90 - Dialog,1973 December 8,1973,December 8,1973,1973,,,RJ 90,,,MSS0180_B239_F21,
"7.5 ips, stereo 1/4 track",RJ 91 - A Vocabulary for Sharon Belle Mattlin,1974 January 14,1974,January 14,1974,1974,"Featuring Bruce Ditmas, percussion; Joan La Barbara, voice; Mac Low, voice and recorders. Track 1: Performance 1. Track 3: Performance 2.",,RJ 91,,,MSS0180_B239_F22,
7.5 ips,RJ 92 - A Vocabulary for Sharon Belle Mattlin,1974 January 16,1974,January 16,1974,1974,"A 4 channel mix of 2 performances of ""A Vocabulary for Sharon Belle Mattlin"" by Joan La Barbara. Featuring Bruce Ditmas, percussion; Mac Low, voice and recorders. 30 minutes.",,RJ 92,30 minutes,,"MSS0180_B239_F23_1, MSS0180_B239_F23_2",
"7.5 ips, stereo 1/2 track",RJ 93 - A Vocabulary for Sharon Belle Mattlin,1974 January 17,1974,January 17,1974,1974,"Mix of quad 1 of ""A Vocabulary of Sharon Belle Mattlin."" Buchla input.",,RJ 93,,,MSS0180_B239_F24,
"7.5 ips, 1/2 mono track","A Vocabulary for Sharon Belle Mattlin, performed at Charles Morrow's",1974 January,1974,January,1974,1974,"Featuring Bruce Ditmas, percussion; Joan La Barbara, voice; Mac Low, voice and recorders; Charles Morrow, voice and trumpet; Carole Weber, voice and flute.",,,,tape is physically unplayable - shredding itself,MSS0180_B239_F25,Charlie Morrow
"7.5 ips, 1/4 track",RJ 94 - Asymmetries,1974 February 21,1974,February 21,1974,1974,"Selected from numbers 1-501. Performed By Jackson, Clarinda, and Mordecai-Mark Mac Low.",,RJ 94,,,MSS0180_B239_F26,"Clarinda Mac Low, Mordecai-Mark Mac Low"
"7.5 ips, stereo 1/2 track",RJ 95 - Asymmetries,1974 February 21,1974,February 21,1974,1974,"Selected from numbers 1-501. Performed By Jackson, Clarinda, and Mordecai-Mark Mac Low. Performed at the NYU Composers' Workshop.",,RJ 95,,,MSS0180_B239_F27,"Clarinda Mac Low, Mordecai-Mark Mac Low"
"7.5 ips, 4-channel",RJ 96 - A Vocabulary for Sharon Belle Mattlin A,1974 March 14,1974,March 14,1974,1974,For NYU Composers' Workshop. Featuring Mac Low on Buchla synthesizer.,,RJ 96,,"channels 1 & 2 are on track 1, channels 3 & 4 are on track 2","MSS0180_B239_F28_1, MSS0180_B239_F28_2",
"7.5 ips, stereo 1/2 track",RJ 97 - A Vocabulary for Sharon Belle Mattlin B,1974 March 14,1974,March 14,1974,1974,For NYU Composers' Workshop. Featuring Mac Low on Buchla synthesizer. Stereo duplicate of RJ 96.,,RJ 97,Stereo dupe of RJ 96,,MSS0180_B239_F29,
"7.5 ips, 1/4 track",RJ 98 - A Vocabulary for Sharon Belle Mattlin C,1974 March 14,1974,March 14,1974,1974,For NYU Composers' Workshop. Featuring Mac Low on Buchla synthesizer.,,RJ 98,,,MSS0180_B239_F30,
"7.5 ips, 4-channel",RJ 99 - Syracuse Filtration I,1974 March 22,1974,March 22,1974,1974,"Featuring ""A Vocabulary for Sharon Belle Mattlin."" 30 minutes.",,RJ 99,30 minutes,"channels 1 & 2 are on track 1, channels 3 & 4 are on track 2","MSS0180_B239_F31_1, MSS0180_B239_F31_2",
"7.5 ips, stereo 1/2 track",RJ 100 - Syracuse Filtration II,1974 March 22,1974,March 22,1974,1974,"Featuring ""A Vocabulary for Sharon Belle Mattlin.""",,RJ 100,,,MSS0180_B239_F32,
"7.5 ips, 4-channel",RJ 101 - Syracuse Filtration III,1974 March 29,1974,March 29,1974,1974,,,RJ 101,,"channels 1 & 2 are on track 1, channels 3 & 4 are on track 2","MSS0180_B239_F33_1, MSS0180_B239_F33_2",
"7.5 ips, stereo 1/2 track",RJ 102 - Syracuse Filtration IV,1974 April 1,1974,April 1,1974,1974,,,RJ 102,,,MSS0180_B239_F34,
"7.5 ips, mono full",RJ 103 - A Vocabulary for Sharon Belle Mattlin,1974 April 22,1974,April 22,1974,1974,Rehearsal at Phil Niblock's. Extensive notes on box.,,RJ 103,,,MSS0180_B240_F01,
"7.5 ips, mono full",RJ 104 - The Black Tarantula Crossword Gathas,1974 April 22,1974,April 22,1974,1974,"Rehearsal at Phil Niblock's. Featuring Rhys Chatham, Spencer Holst, Clarinda, Jackson, and Mordecai-Mark Mac Low, Sharon Mattlin, and George and Susan Quasha.",,RJ 104,,,MSS0180_B240_F02,"Spencer Holst, Clarinda Mac Low, Mordecai-Mark Mac Low, Sharon Mattlin"
"7.5 ips, stereo",RJ 105 - Vocabulary for Michael Wiater,1974 April 23,1974,April 23,1974,1974,Featuring Jackson Mac Low and Hannah Weiner.,,RJ 105,,,MSS0180_B240_F03,
"7.5 ips, 4-channel",RJ 106 - Counterpoint for Candy Cohen ,1974 April 25,1974,April 25,1974,1974,Candy Cohen talking at intermission.,,RJ 106,,"channels 1 & 2 are on track 1, channels 3 & 4 are on track 2","MSS0180_B240_F04_1, MSS0180_B240_F04_2",
"7.5 ips, stereo",RJ 106A - Counterpoint for Candy Cohen I,1974 April 25,1974,April 25,1974,1974,,,RJ 106A,,,MSS0180_B240_F05,
"7.5 ips, stereo 1/2 track",RJ 107 - Counterpoint for Candy Cohen II,1974 April 25,1974,April 25,1974,1974,,,RJ 107,,,MSS0180_B240_F06,
"7.5 ips, 1/4 track",RJ 108 - Counterpoint for Candy Cohen III,1974 April 25,1974,April 25,1974,1974,,,RJ 108,,,MSS0180_B240_F07,
"7.5 ips, stereo 1/2 track",RJ 109 - Counterpoint for Candy Cohen IV,1974 April 25,1974,April 25,1974,1974,,,RJ 109,,,MSS0180_B240_F08,
"7.5 ips, 1/4 track",RJ 110 - Counterpoint for Candy Cohen V,1974 April 25,1974,April 25,1974,1974,,,RJ 110,,,MSS0180_B240_F09,
"7.5 ips, 1/4 track",RJ 111 - Vocabulary for Sharon Belle Mattlin,1974 April 27,1974,April 27,1974,1974,,,RJ 111,,,MSS0180_B240_F10,
"7.5 ips, 1/2 track",RJ 112 - Vocabulary for Sharon Belle Mattlin,1974 April 27,1974,April 27,1974,1974,Performance doubled on itself.,,RJ 112,,,MSS0180_B240_F11,
"7.5 ips, 1/2 track",RJ 113 - A Vocabulary for Sharon Belle Mattlin,1974 April 27,1974,April 27,1974,1974,Performed at WBAI Free Music Store.,,RJ 113,,,MSS0180_B240_F12,
"7.5 ips, 1/2 track",RJ 113A - The Black Tarantula Crossword Gathas,1974 April 27,1974,April 27,1974,1974,Performed at WBAI Free Music Store.,,RJ 113A,,,MSS0180_B240_F13,
"7.5 ips, mono full","The Black Tarantula Crossword Gathas, performed at WBAI Free Music store",1974 April 27,1974,April 27,1974,1974,"Voices include Spencer Holst, Joan La Barbara, Mac Low, Clarinda and Mordecai-Mark Mac Low, Sharon Mattlin, Michael Cooper, Arthur Russell, and others.",,,,,MSS0180_B240_F14,"Spencer Holst, Clarinda Mac Low, Mordecai-Mark Mac Low, Sharon Mattlin"
"7.5 ips, 1/4 track",RJ 114 - Bliem Kern,1974 May 21,1974,May 21,1974,1974,At Manhattan Theater Club. RM 10 is a duplicate.,,RJ 114,RM 10 is a dupe,overload distortion and background noise,MSS0180_B240_F15,
"7.5 ips, stereo",RJ 115 - 2nd Syracuse Filtration,1974 May 25,1974,May 25,1974,1974,,,RJ 115,,,MSS0180_B240_F16,
7.5 ips,RJ 116 - Vocabulary for Sharon Belle Mattlin,1974 May,1974,May,1974,1974,,,RJ 116,,,MSS0180_B240_F17,
7.5 ips,RJ 117 - Vocabulary for Sharon Belle Mattlin,1974 May,1974,May,1974,1974,"Jackson Mac Low: voice, recorder. Joan La Barbara: Voice. Bruce Ditmas: Percussion. Duplicate of RJ 116",,RJ 117,Dupe of RJ 116,extremely muffled,MSS0180_B240_F18,
"7.5 ips, stereo 1/2 track",RJ 118 - Vocabulary for Sharon Belle Mattlin,1974 October,1974,October,1974,1974,CJ 164 is a duplicate.,,RJ 118,CJ 164 is a dupe,,MSS0180_B240_F19,
"7.5 ips, mono full",RJ 120 - Time Tames Hearts,1974 October 1,1974,October 1,1974,1974,"Mac Low: voice and buchla. Also has ""A Vocabulary for Sharon Belle Mattlin.""",,RJ 120,,,MSS0180_B240_F20,
"7.5 ips, mono full",RJ 121 - Dr. Generosity Reading I,1974 November 11,1974,November 11,1974,1974,"Performed in New York City. Mac Low assisted by M. Cooper, S. Holst, Clarinda and Mordecai-Mark Mac Low, and Sharon Mattlin.",,RJ 121,,noisy,MSS0180_B240_F21,"Spencer Holst, Clarinda Mac Low, Mordecai-Mark Mac Low, Sharon Mattlin"
"7.5 ips, mono full",RJ 122 - Dr. Generosity Reading II,1974 November 11,1974,November 11,1974,1974,"Reel 2. Performed in New York City. Mac Low assisted by M. Cooper, S. Holst, Clarinda and Mordecai-Mark Mac Low, and Sharon Mattlin.",,RJ 122,,,MSS0180_B240_F22,"Spencer Holst, Clarinda Mac Low, Mordecai-Mark Mac Low, Sharon Mattlin"
"7.5 ips, mono full",RJ 122A - Tree Movie I,1975 January 25,1975,January 25,1975,1975,Tape 1.,,RJ 122A,,random noises,MSS0180_B240_F23,
"7.5 ips, mono full",RJ 122B - Tree Movie II,1975 January 25,1975,January 25,1975,1975,Tape 2.,,RJ 122B,,extremely muffled,MSS0180_B240_F24,
"7.5 ips, mono full",RJ 122C - Tree Movie I,1975 January 26,1975,January 26,1975,1975,Tape 1.,,RJ 122C,,extremely muffled,MSS0180_B240_F25,
"7.5 ips, mono full",RJ 122D - Tree Movie II,1975 January 26,1975,January 26,1975,1975,Tape 2.,,RJ 122D,,extremely muffled,MSS0180_B240_F26,
"7.5 ips, mono",RJ 123 - Queens College,1975 March 6,1975,March 6,1975,1975,,,RJ 123,,extremely muffled,MSS0180_B240_F27,
"7.5 ips, stereo 1/4 track",RJ 124 - Numbered Asymmetries at Kitchen,1975 May 16,1975,May 16,1975,1975,,,RJ 124,,,MSS0180_B240_F28,
"7.5 ips, stereo","RJ 125 - Kitchen Concert ""Heavens""",1975 May 16,1975,May 16,1975,1975,,,RJ 125,,,MSS0180_B240_F29,
"7.5 ips, stereo 1/2 track",RJ 126 - University of Sussex,1975 May 20,1975,May 20,1975,1975,"CJ 67, 68, CM 30 are duplicates",,RJ 126,"CJ 67, 68, CM 30are dupes",extremely muffled,MSS0180_B240_F30,
,RJ 127 - BBC Recording,1975 May 21,1975,May 21,1975,1975,Recorded in London with BP Nichol. Cassette 1975 May 20 - London Sound Poetry Festival is a duplicate,,RJ 127,Cassette 1975 May 20 - London Sound Poetry Festival is a dupe,,MSS0180_B240_F31,
"1.875 ips, mono 1/2 track",RJ 128 - University of Essex,1975 May 22,1975,May 22,1975,1975,CJ 73 is a duplicate,,RJ 128,CJ 73 is a dupe,,MSS0180_B240_F32,
"7.5 ips, 1/2 mono track",RJ 129 - Naropa I,1975 August 11,1975,August 11,1975,1975,"Recorded in Boulder, Colorado. Performances by Peter Orlovsky and Jackson Mac Low. Introduction by Allen Ginsberg. Part 1.",,RJ 129,,,MSS0180_B240_F33,
"7.5 ips, 1/2 mono track",RJ 130 - Naropa II,1975 August 11,1975,August 11,1975,1975,"Recorded in Boulder, Colorado. Performances by Peter Orlovsky and Jackson Mac Low. Introduction by Allen Ginsberg. Part 2.",,RJ 130,,,MSS0180_B240_F34,
"3.75 ips, stereo 1 track",RJ 131 - Reading at Bard College I,1975 October 25,1975,October 25,1975,1975,Recorded at the first Towbin Poetry Festival. Introduction by Robert Kelly. Notes and flyer for the festival inside box. Part 1. CJ 100 is a duplicate.,,RJ 131,CJ 100 is a dupe,,MSS0180_B240_F35,
"3.75 ips, stereo 1 track",RJ 132 - Reading at Bard College II,1975 October 25,1975,October 25,1975,1975,Recorded at the first Towbin Poetry Festival. Conclusion. CJ 101 is a duplicate,,RJ 132,CJ 101 is a dupe,,MSS0180_B241_F01,
"3.75 ips, stereo 2 track",RJ 132A - Reading at Bard College III,1975 October 25,1975,October 25,1975,1975,Recorded at the first Towbin Poetry Festival. Introduction by Robert Kelly. Track 2 is hardly audible.,,RJ 132A,,,MSS0180_B241_F02,
"7.5 ips, mono full track (mix from stereo)","Homage to Leona Bleiweiss Part 1, and Quadrumanous, premier performance at The Brook, New Wilderness Event no. 27, New York",1976 March 25,1976,March 25,1976,1976,"Featuring John Beaulieu, melodica and harmonica; Philip Corner, pianos; John Epperson, French horn; Debby Heilner, guitar; Marcia Lind, violin; Mac Low, pianos and recorders; Charles Morrow, trumpet; Armand Schwerner, bass clarinet; Cathy Skopic, clarinet; and Neil Elliott, timekeeper. Poor condition.",,Poor condition.,,extremely muffled,MSS0180_B241_F03,"Charlie Morrow, Armand Schwerner"
"7.5 ips, stereo full track",Homage to Leona Bleiweiss Part 2,1976 March 25,1976,March 25,1976,1976,"Premier performance at The Brook, New Wilderness even no. 27, New York. Featuring John Beaulieu, melodica and harmonica; Philip Corner, pianos; John Epperson, French horn; Debby Heilner, guitar; Marcia Lind, violin; Mac Low, pianos and recorders; Charles Morrow, trumpet; Armand Schwerner, bass clarinet; Cathy Skopic, clarinet; and Neil Elliott, timekeeper.",,,,,MSS0180_B241_F04,"Charlie Morrow, Armand Schwerner"
3.75 ips,RJ 133 - Brooklyn Museum,1976 May 2,1976,May 2,1976,1976,"Asymmetries 49, 51, 125, 205, 206, 372, 371, and 487. CJ 117 Side B is a duplicate",,RJ 133,CJ 117 Side B is a dupe,extremely muffled,MSS0180_B241_F05,
7.5 ips,RJ 134 - London Feedback,1976,1976,,1976,1976,"Also includes Like a Map, London Rumbles and Hum, and Mark Twain.",,RJ 134,,extremely muffled,MSS0180_B241_F06,
7.5 ips,RJ 135 - Letters for Iris Numbers for Silence,1976,1976,,1976,1976,Also includes The Presidents of the United States of America. ,,RJ 135,,,MSS0180_B241_F07,
,"RJ 136 - Word Event on ""Lucy Church Amiably""",1976,1976,,1976,1976,,,RJ 136,,overload distortion and background noise,MSS0180_B241_F08,
"3.75 ips, 2 track",RJ 137 - 2nd Gatha,1976,1976,,1976,1976,"Also includes works by Haydn, Hugo Wolf, Schoenberg, Beethoven, and Vivaldi.",,RJ 137,,extremely muffled,"MSS0180_B241_F09_1, MSS0180_B241_F09_2",
"7.5 ips, stereo 1/2 track",RJ 138 - Available Forms II,1976,1976,,1976,1976,"Featuring Earle Brown and Bruno Maderna. Iris, Clarinda, Mordecai-Mark, and Jackson Mac Low on harmonuim. Clarinda and Jackson Mac Low on harmonicas.",,RJ 138,,,MSS0180_B241_F10,"Iris Lezak, Mordecai-Mark Mac Low, Clarinda Mac Low"
"7.5 ips, stereo 1/2 track","RJ 139 - Homage to Leona Bleiweiss Part 4, Sluggishness",1976 May 21,1976,May 21,1976,1976,Jackson Mac Low on voice and piano.,,RJ 139,,,MSS0180_B241_F11,
"7.5 ips, stereo 1/2 track",Rehearsal of Homage to Leona Bleiweiss,1976,1976,,1976,1976,,,,,,MSS0180_B241_F12,
"7.5 ips, stereo 1/2 track",Absence of Silence,1976 July 24,1976,July 24,1976,1976,Recorded in NYC. Jackson Mac Low and Perry Robinson. Produced by Dave Zimmer and Matthew Paris.,,,,"extremely muffled, gaps in soundfile","MSS0180_B241_F13_1, MSS0180_B241_F13_2",
"7.5 ips, stereo 1/2 track","Bessie Smith Memorial, Grassroots",1976 October 3,1976,October 3,1976,1976,,,,,,MSS0180_B241_F14,
"7.5 ips, stereo",WBAI Free Music Store,1976 October 14,1976,October 14,1976,1976,Composer's Forum featuring Jackson Mac Low. Recording Engineer: Dave Marx. Concert produced by Ira Weitzman.,,,,duplicate of MSS0180_B241_F16,MSS0180_B241_F15,
"7.5 ips, stereo",WBAI Free Music Store Copy,1976 October 14,1976,October 14,1976,1976,Composer's Forum featuring Jackson Mac Low. Recording Engineer: Dave Marx. Concert produced by Ira Weitzman.,,,,better version,MSS0180_B241_F16,
"7.5 ips, stereo",WBAI Free Music Store Copy,1976 October 14,1976,October 14,1976,1976,Composer's Forum featuring Jackson Mac Low. Recording Engineer: Dave Marx. Concert produced by Ira Weitzman. Extensive notes on box.,,,,duplicate of MSS0180_B241_F16,MSS0180_B241_F17,
"7.5 ips, stereo 1/2 track",Rehearsal of Homage to Leona Bleiweiss,1976 October,1976,October,1976,1976,"Repeopled and Sluggishness. Featuring Rhys Chatham, flute; Jackson Mac Low, piano; Sharon Mattlin, recorder; Martha Siegel, cello; Ned Sublette, guitar. Recorded at 42 N. Moore St, 6th floor, NY - Mac Low's loft. ",,,,,MSS0180_B241_F18,Sharon Mattlin
"7.5 ips, stereo 1/2 track",JML on Piano,1976 November 28,1976,November 28,1976,1976,,,,,,MSS0180_B241_F19,
"7.5 ips, stereo 1/2 track",Diane I,1976 November,1976,November,1976,1976,,,,,,MSS0180_B241_F20,
"3.75 ips, stereo 1/4 track",Notre Dame University,1977 April 27,1977,April 27,1977,1977,Recording Engineer: Bob Stanton. Cassette 1977 April 27 - JML at NDU is a duplicate,,,Cassette 1977 April 27 - JML at NDU is a dupe,extremely muffled,"MSS0180_B241_F21_1, MSS0180_B241_F21_2",
"7.5 ips, 1/2 track",Milarepa Gatha,1977 September 21,1977,September 21,1977,1977,Performed at the Festival of New Music at the Cleveland Museum of art.,,,,,MSS0180_B241_F22,
"7.5 ips, 1/2 track",SUNY Albany I,1977,1977,,1977,1977,,,,,,MSS0180_B247_F01,
"7.5 ips, 1/2 track",SUNY Albany II,1977,1977,,1977,1977,,,,,,MSS0180_B247_F02,
7.5 ips,"Media discussion and unidentified recording. Laguna Gloria Museum, Austin Texas",1978 January 14-15,1978,January 14-15,1978,1978,2 reels,,2 reels,,,MSS0180_B241_F23,
7.5 ips,"Media discussion and unidentified recording. Laguna Gloria Museum, Austin Texas",1978 January 14-15,1978,January 14-15,1978,1978,2 reels,,2 reels,,,MSS0180_B241_F24,
"7.5 ips, dual stereo","Milarepa Gatha, and Homage to Leona Bleiweiss Parts 1, 4 and 5",1978 January 21,1978,January 21,1978,1978,Cassette 1978 January 21 - Dartmouth is a duplicate,,,Cassette 1978 January 21 - Dartmouth is a dupe,,MSS0180_B241_F25,
"7.5 ips, dual stereo","Phone, and A Vocabulary for Peter Innis Free Moore, performed at Dartmouth College",1978 January 21,1978,January 21,1978,1978,Cassette 1978 January 21 - Dartmouth is a duplicate,,,Cassette 1978 January 21 - Dartmouth is a dupe,,MSS0180_B241_F26,
"7.5 ips, dual stereo","Fifteen Quinzains for Stephanie Vevers, Guru-Guru Gatha",1978 January 21,1978,January 21,1978,1978,Cassette 1978 January 21 - Dartmouth is a duplicate,,,Cassette 1978 January 21 - Dartmouth is a dupe,,MSS0180_B241_F27,
"7.5 ips, 1/2 track",[Unidentified] performances at Kitchen,1978 May 30,1978,May 30,1978,1978,2 tapes on 1978 May 30 - Kitchen are duplicates,,3 reels,2 tapes on 1978 May 30 - Kitchen are dupes,extremely muffled,MSS0180_B241_F28,
"7.5 ips, 1/2 track",[Unidentified] performances at Kitchen,1978 May 30,1978,May 30,1978,1978,2 tapes on 1978 May 30 - Kitchen are duplicates,,3 reels,2 tapes on 1978 May 30 - Kitchen are dupes,extremely muffled,MSS0180_B241_F29,
"7.5 ips, 1/2 track",[Unidentified] performances at Kitchen,1978 May 30,1978,May 30,1978,1978,2 tapes on 1978 May 30 - Kitchen are duplicates,,3 reels,2 tapes on 1978 May 30 - Kitchen are dupes,extremely muffled,MSS0180_B241_F30,
"7.5 ips, stereo 1/2 track","1st Sharon Belle Mattlin Vocabulary Crossword Gatha, Bluebird Asymmetries, and Young Turtle Asymmetries",1978 December 2,1978,December 2,1978,1978,"Composed by Mac Low. Recorded by A. Bernstein at the Peabody Conservatory, Baltimore.",,,,,MSS0180_B241_F31,
"7.5 ips, stereo 1/2 track","Nymphomaniac Alphabet Poems, and This is the Beginning of Something New",1978 December 2-3,1978,December 2-3,1978,1978,"Composed and performed by Mac Low. ""This is the Beginning"" includes K. Malone, A. Bernstein, M. Reese. Recorded by A. Bernstein at the Peabody Conservatory, Baltimore.",,,,,MSS0180_B241_F32,
"7.5 ips, stereo 1/2 track",Homage to Leona Bleiweiss Parts 1-5,1978 December 3,1978,December 3,1978,1978,"North Hall Session. Recorded by William Maylan at the Peabody Conservatory, Baltimore.",,2 reels,,,MSS0180_B241_F33,
"7.5 ips, stereo 1/2 track",Homage to Leona Bleiweiss Parts 1-5,1978 December 3,1978,December 3,1978,1978,"North Hall Session. Recorded by William Maylan at the Peabody Conservatory, Baltimore.",,2 reels,,,MSS0180_B241_F34,
"7.5 ips, stereo 1/2 track","Musicwords, for Phill Niblock and Vocabulary Gatha, for Pete Rose",1978 December 3,1978,December 3,1978,1978,"North Hall Session. Recorded by William Maylan at the Peabody Conservatory, Baltimore. With Mac Low, piano; Custer Larue, voice; Allan Ware, clarinet; Mitch Pressman, contrabass; Alec Bernstein, synthesizer.",,,,,MSS0180_B241_F35,
"7.5 ips, stereo 2-track",Reel 2 of Jackson Mac Low Retrospective Concert Series on Arts Extra,1978 December 7,1978,December 7,1978,1978,,,,,two reels,MSS0180_B247_F03,
"7.5 ips, stereo 1/2 track",LETT,1979 January 25,1979,January 25,1979,1979,Played and spoken by Ned Sublette. Recorded at Charlie Morrow's. ,,,,,MSS0180_B241_F36,
